"","Displacement","Month","Year","Level","Temp","Rainfall"
"1",10.7,4,1986,0.782736082938923,12.5,0
"2",11.2,4,1986,0.781834572909625,3.25,0
"3",12.3,4,1986,0.843588009916612,6.875,3.5
"4",12.9,4,1986,0.888212756366916,6.25,0
"5",13.4,5,1986,0.924498535046204,13.25,0
"6",13.9,5,1986,0.95695289610097,8.25,0
"7",13.9,5,1986,0.96213657876944,9.25,9.5
"8",13.9,5,1986,0.961460446247466,8.125,5.7
"9",12.9,6,1986,0.964615731350013,14.75,0
"10",12.1,6,1986,0.963038088798738,15.75,0
"11",12.1,6,1986,0.965742618886635,14.5,1
"12",11.6,7,1986,0.965291863871986,14.75,0
"13",11.2,7,1986,0.955375253549698,13.875,3
"14",10.8,7,1986,0.944331755690784,11.25,4.5
"15",9.5,7,1986,0.930358350236648,19.875,0
"16",8.5,7,1986,0.91390579220194,18.5,0
"17",4.6,9,1986,0.835023664638271,18.5,0
"18",3.7,9,1986,0.800991661032231,18.375,0
"19",3.3,9,1986,0.7816091954023,16.5,0
"20",3.1,10,1986,0.756141537074601,17.25,0
"21",3.3,10,1986,0.731800766283525,8.5,5
"22",3.7,10,1986,0.706107730448502,8.875,0
"23",4.2,10,1986,0.681541582150102,10.25,0
"24",3.8,10,1986,0.65494703628578,13.625,0
"25",4.6,11,1986,0.631733153031329,0.5,7.5
"26",5.5,11,1986,0.640072120802346,5.5,0
"27",6,11,1986,0.625873337840886,8,0
"28",6.3,11,1986,0.598602659454588,1.5,0
"29",7,12,1986,0.577417173766058,0.25,0
"30",7.7,12,1986,0.557809330628803,-1,0
"31",7.9,12,1986,0.535046202389002,2.375,0
"32",8.3,1,1987,0.474194275411316,2.75,0
"33",8.4,1,1987,0.472165877845392,5,0
"34",8.4,1,1987,0.470362857786793,7.875,0
"35",8.6,1,1987,0.467883705206223,3.75,0
"36",8.6,2,1987,0.46540455262565,6.25,0
"37",8.6,2,1987,0.463150777552402,1.875,0
"38",8.7,2,1987,0.46022086995718,2.5,0
"39",9,2,1987,0.457741717376607,3.5,7.5
"40",8.7,3,1987,0.452332657200812,6.75,0
"41",7.5,3,1987,0.446472842010369,12.25,0
"42",7.8,3,1987,0.445120576966419,4,0
"43",6.7,3,1987,0.43903538426865,12.125,0
"44",7.2,4,1987,0.476222672977239,10,0
"45",6.8,4,1987,0.488843813387425,12,0
"46",6.9,4,1987,0.502591841334236,6.5,7.5
"47",8.4,4,1987,0.631507775524005,9.75,0
"48",8.2,5,1987,0.665990534144694,12.375,0
"49",9.3,5,1987,0.740365111561867,10.5,0
"50",9.5,5,1987,0.775073247689883,11.5,8
"51",9.6,5,1987,0.795131845841787,12.125,0
"52",9,6,1987,0.806175343700701,14,0
"53",7.6,6,1987,0.808654496281274,21.875,0
"54",7.1,6,1987,0.798061753437009,14.875,35
"55",10.2,7,1987,0.957854406130268,16.75,0
"56",9.7,7,1987,0.957629028622944,17,0
"57",9,7,1987,0.960108181203516,20,0
"58",9.1,7,1987,0.957629028622944,17.25,0
"59",8.8,7,1987,0.957178273608294,21.5,0
"60",8.4,8,1987,0.9517692134325,20.375,0
"61",8.2,8,1987,0.943881000676135,17.875,0
"62",7.2,8,1987,0.927428442641426,18.75,0
"63",7,9,1987,0.920441739914357,17,3.5
"64",6.3,9,1987,0.903989181879649,20,0
"65",6.7,9,1987,0.892269551498761,14.5,4
"66",7.1,10,1987,0.884606716249718,14,0
"67",7.3,10,1987,0.878070768537301,15.5,0
"68",6.9,10,1987,0.862294343024568,14.5,0
"69",6.9,10,1987,0.844940274960559,9.25,0
"70",6.9,10,1987,0.826233941852605,10.25,0
"71",6.9,11,1987,0.802569303583503,12,0
"72",7.4,11,1987,0.781158440387651,6.25,0
"73",7.7,11,1987,0.762452107279694,7.75,0
"74",7.9,11,1987,0.741491999098492,6,0
"75",8.5,12,1987,0.716024340770793,2.25,0
"76",8.6,12,1987,0.674554879423035,7.25,0
"77",9.1,12,1987,0.652918638719856,5.75,6
"78",9.1,12,1987,0.686499887311247,5.25,24.5
"79",10.4,1,1988,0.700698670272707,6.75,0
"80",10.6,1,1988,0.693486590038316,7.75,3.5
"81",13.5,1,1988,0.858012170385397,6.5,0
"82",14.5,1,1988,0.879423033581251,4,0
"83",14.5,2,1988,0.882578318683797,6.25,0.8
"84",15.8,2,1988,0.933513635339195,7,0
"85",16.4,2,1988,0.949966193373903,4,0
"86",16,3,1988,0.956502141086321,7.875,0
"87",16.7,3,1988,0.949515438359254,7.375,0
"88",16.2,3,1988,0.948613928329953,6.75,0
"89",16.2,3,1988,0.947261663286006,6.5,0
"90",16.4,3,1988,0.957403651115619,9.125,6.5
"91",16,4,1988,0.963488843813387,6.75,0
"92",16.1,4,1988,0.952670723461801,10.125,6.5
"93",15.7,4,1988,0.956051386071672,11.75,0
"94",15.3,5,1988,0.955149876042373,9.75,5
"95",15,5,1988,0.951543835925175,13,0
